ЧАСТОТНЫЙ СЛОВАРЬ:
<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
№  | СЛОВО                 | КОЛИЧЕСТВО | В СТАТЬЯХ
<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
 1 | быть                 |        133 |  31
 2 | украина              |        111 |  19
 3 | россия               |         99 |  24
 4 | год                  |         98 |  27
 5 | российский           |         73 |  25
 6 | президент            |         59 |  23
 7 | мочь                 |         59 |  26
 8 | свой                 |         57 |  27
 9 | время                |         55 |  29
10 | слово                |         55 |  23
11 | фото                 |         54 |  25
12 | также                |         51 |  23
13 | ребёнок              |         50 |   6
14 | после                |         48 |  21
15 | игра                 |         45 |   6
16 | roblox               |         45 |   4
17 | такой                |         39 |  19
18 | страна               |         38 |  20
19 | вопрос               |         37 |  17
20 | лидер                |         36 |  15
21 | глава                |         35 |  16
22 | отметить             |         34 |  23
23 | сша                  |         34 |  11
24 | путин                |         33 |  12
25 | стать                |         32 |  19
26 | конкурс              |         31 |   2
27 | актив                |         31 |   5
28 | заявить              |         30 |  23
29 | долина               |         30 |   2
30 | человек              |         29 |  15
31 | было                 |         28 |  15
32 | военный              |         27 |  14
33 | который              |         27 |  17
34 | конфликт             |         27 |  10
35 | того                 |         27 |  15
36 | американский         |         26 |  13
37 | встреча              |         26 |  10
38 | план                 |         26 |  11
39 | девушка              |         25 |   6
40 | ещё                  |         24 |  15
41 | однако               |         24 |  13
42 | декабрь              |         24 |  17
43 | решение              |         24 |  14
44 | которые              |         24 |  15
45 | действие             |         24 |  15
46 | сторона              |         24 |  13
47 | миллион              |         24 |   9
48 | два                  |         23 |  18
49 | певица               |         23 |   5
50 | случай               |         23 |  13
