url,title,body,body_clean,body_lemma_for_freq,body_lemma,embedding
https://lenta.ru/news/2025/12/04/uchastniki-evrovideniya-nachali-boykotirovat-konkurs-pochemu-uzhe-chetyre-strany-reshili-proignorirovat-shou/,Участники «Евровидения» объявили бойкот конкурсу. Почему уже четыре страны решили проигнорировать шоу?,"Четыре страны, входящие в Европейский вещательный союз (EBU),объявилибойкот песенному конкурсу «Евровидение-2026». Испания,Ирландия, Нидерланды иСловениярешили отказаться от участия в «Евровидении» после решенияГенеральной ассамблеиEBU допустить представителя изИзраиля. Также вероятен сценарий, при котором вещатели еще двух стран —ИсландиииБельгии— присоединятся к бойкоту, однако пока точной информации об этом не поступало. Участие в «Евровидении» подтвердила 31 страна. При этом всем конкурсантам будет предложено подтвердить свое участие. Полный список участников 70-го, юбилейного «Евровидения» будет объявлен до католического Рождества, которое празднуется 25 декабря. Президент EBU Дельфина Эрнотт Кунчизаявила, что решение большинства стран допустить Израиль «демонстрирует общую приверженность защите прозрачности и доверия к конкурсу». «Евровидение» останется площадкой для единства и культурного обмена В Европе воспротивились участию Израиля в «Евровидении» из-за операции Армии обороны еврейского государства (ЦАХАЛ) в секторе Газа, длящейся с октября 2023 года после нападения боевиков радикального палестинскогодвижения ХАМАСна музыкальный фестиваль «Нова» в октябре 2023 года. В ходе полномасштабной военной кампании регион оказался разрушен, при этом ударам подверглись гражданские объекты, включая больницы, школы и жилые дома. По утверждению органов здравоохранения Газы, число погибших превысило 70 тысяч человек. На «Евровидении-2025» Израиль представляла певица Юваль Рафаэль, пережившая нападение исламистов. Во время выступления артистки в финале конкурса в зале появился палестинский флаг, а также раздавались свист и неодобрительные крики. Победитель «Евровидения-2025» Йоханнес Питч (JJ)потребовалисключить Израиль из песенного конкурса. ПредставляющийАвстриюмузыкант заявил, что разочарован участием Израиля и хотел бы, чтобы в следующем году конкурс вВенепрошел без представителей этой страны. В 2024 году участника «Евровидения» от Нидерландов Йоста Кляйна (псевдоним Joost)дисквалифицировалипосле жалобы, которая была подана участницей съемочной группы после его выступления в полуфинале конкурса. В СМИ начала распространяться информация о том, что Кляйн мог конфликтовать с делегацией Израиля. Выяснилось, что в ходе пресс-конференции стран-участниц Кляйн вмешался в интервью представительницы Израиля Эден Голан. Журналист задал ей вопрос, думала ли она, что подвергает риску других участников и публику. Голан замешкалась, и продюсер конкурса отметил, что исполнительница имеет право не отвечать на все вопросы прессы. Тогда вмешался Кляйн и спросил: «А почему нет?» В итоге представительнице Израиля пришлось дать ответ. Ранее премьер-министр ИспанииПедро Санчесзаявил, что артистка из Израиля не должна была принимать участие в конкурсе «Евровидение». Он отметил, что организаторы допустили двойные стандарты, отлучив от участия в конкурсе Россию после начала специальной военной операции (СВО), но позволив выступить участнице из Израиля. Россия не принимает участие в «Евровидении» с 2022 года. Тогдашний организатор конкурса Мартин Эстердальзаявил, что решение об исключении России из списка участников «далось руководству EBU непросто», но запрет участия российских конкурсантов «соответствует ценностям Запада: солидарности, взаимовыручке и объединению через музыку».",четыре страны входящие в европейский вещательный союз ebu объявилибойкот песенному конкурсу евровидение испания ирландия нидерланды исловениярешили отказаться от участия в евровидении после решениягенеральной ассамблеиebu допустить представителя изизраиля также вероятен сценарий при котором вещатели еще двух стран исландииибельгии присоединятся к бойкоту однако пока точной информации об этом не поступало участие в евровидении подтвердила страна при этом всем конкурсантам будет предложено подтвердить свое участие полный список участников го юбилейного евровидения будет объявлен до католического рождества которое празднуется декабря президент ebu дельфина эрнотт кунчизаявила что решение большинства стран допустить израиль демонстрирует общую приверженность защите прозрачности и доверия к конкурсу евровидение останется площадкой для единства и культурного обмена в европе воспротивились участию израиля в евровидении из за операции армии обороны еврейского государства цахал в секторе газа длящейся с октября года после нападения боевиков радикального палестинскогодвижения хамасна музыкальный фестиваль нова в октябре года в ходе полномасштабной военной кампании регион оказался разрушен при этом ударам подверглись гражданские объекты включая больницы школы и жилые дома по утверждению органов здравоохранения газы число погибших превысило тысяч человек на евровидении израиль представляла певица юваль рафаэль пережившая нападение исламистов во время выступления артистки в финале конкурса в зале появился палестинский флаг а также раздавались свист и неодобрительные крики победитель евровидения йоханнес питч jj потребовалисключить израиль из песенного конкурса представляющийавстриюмузыкант заявил что разочарован участием израиля и хотел бы чтобы в следующем году конкурс ввенепрошел без представителей этой страны в году участника евровидения от нидерландов йоста кляйна псевдоним joost дисквалифицировалипосле жалобы которая была подана участницей съемочной группы после его выступления в полуфинале конкурса в сми начала распространяться информация о том что кляйн мог конфликтовать с делегацией израиля выяснилось что в ходе пресс конференции стран участниц кляйн вмешался в интервью представительницы израиля эден голан журналист задал ей вопрос думала ли она что подвергает риску других участников и публику голан замешкалась и продюсер конкурса отметил что исполнительница имеет право не отвечать на все вопросы прессы тогда вмешался кляйн и спросил а почему нет в итоге представительнице израиля пришлось дать ответ ранее премьер министр испаниипедро санчесзаявил что артистка из израиля не должна была принимать участие в конкурсе евровидение он отметил что организаторы допустили двойные стандарты отлучив от участия в конкурсе россию после начала специальной военной операции сво но позволив выступить участнице из израиля россия не принимает участие в евровидении с года тогдашний организатор конкурса мартин эстердальзаявил что решение об исключении россии из списка участников далось руководству ebu непросто но запрет участия российских конкурсантов соответствует ценностям запада солидарности взаимовыручке и объединению через музыку,четыре страна входить европейский вещательный союз ebu объявилибойкот песенный конкурс евровидение испания ирландия нидерланды исловениярешили отказаться участие евровидении после решениягенеральной ассамблеиebu допустить представитель изизраиля также вероятный сценарий котором вещатели ещё два страна исландииибельгии присоединиться бойкот однако пока точный информация поступать участие евровидении подтвердить страна конкурсант быть предложить подтвердить свой участие полный список участник юбилейный евровидение быть объявить католический рождество которое праздноваться декабрь президент ebu дельфина эрнотт кунчизаявила решение большинство страна допустить израиль демонстрировать общий приверженность защита прозрачность доверие конкурс евровидение остаться площадка единство культурный обмен европа воспротивиться участие израиль евровидении операция армия оборона еврейский государство цахал сектор газ длящейся октябрь год после нападение боевик радикальный палестинскогодвижения хамасна музыкальный фестиваль нова октябрь год ход полномасштабный военный кампания регион оказаться разрушить удар подвергнуться гражданский объект включая больница школа жилой дом утверждение орган здравоохранение газа число погибнуть превысить тысяча человек евровидении израиль представлять певица юваль рафаэль пережить нападение исламист время выступление артистка финал конкурс зал появиться палестинский флаг также раздаваться свист неодобрительный крик победитель евровидения йоханнес питч потребовалисключить израиль песенный конкурс представляющийавстриюмузыкант заявить разочаровать участие израиль хотеть следующий год конкурс ввенепрошел представитель страна год участник евровидение нидерландов йоста кляйна псевдоним joost дисквалифицировалипосле жалоба которая быть подать участница съёмочный группа после выступление полуфинал конкурс сми начать распространяться информация том кляйн мочь конфликтовать делегация израиль выясниться ход пресс конференция страна участница кляйн вмешаться интервью представительница израиль эден голан журналист задать вопрос думать подвергать риск других участник публика голан замешкаться продюсер конкурс отметить исполнительница иметь право отвечать вопрос пресса тогда вмешаться кляйн спросить почему нет итог представительница израиль прийтись дать ответ ранее премьер министр испаниипедро санчесзаявил артистка израиль должный быть принимать участие конкурс евровидение отметить организатор допустить двойной стандарт отлучить участие конкурс россия после начало специальный военный операция сво позволить выступить участница израиль россия принимать участие евровидении год тогдашний организатор конкурс мартин эстердальзаявил решение исключение россия список участник даться руководство ebu непростой запрет участие российский конкурсант соответствовать ценность запад солидарность взаимовыручка объединение музыка,четыре страна входить европейский вещательный союз ebu объявилибойкот песенный конкурс евровидение испания ирландия нидерланды исловениярешили отказаться участие евровидении после решениягенеральной ассамблеиebu допустить представитель изизраиля также вероятный сценарий котором вещатели ещё два страна исландииибельгии присоединиться бойкот однако пока точный информация поступать участие евровидении подтвердить страна конкурсант быть предложить подтвердить свой участие полный список участник юбилейный евровидение быть объявить католический рождество которое праздноваться декабрь президент ebu дельфина эрнотт кунчизаявила решение большинство страна допустить израиль демонстрировать общий приверженность защита прозрачность доверие конкурс евровидение остаться площадка единство культурный обмен европа воспротивиться участие израиль евровидении операция армия оборона еврейский государство цахал сектор газ длящейся октябрь год после нападение боевик радикальный палестинскогодвижения хамасна музыкальный фестиваль нова октябрь год ход полномасштабный военный кампания регион оказаться разрушить удар подвергнуться гражданский объект включая больница школа жилой дом утверждение орган здравоохранение газа число погибнуть превысить тысяча человек евровидении израиль представлять певица юваль рафаэль пережить нападение исламист время выступление артистка финал конкурс зал появиться палестинский флаг также раздаваться свист неодобрительный крик победитель евровидения йоханнес питч потребовалисключить израиль песенный конкурс представляющийавстриюмузыкант заявить разочаровать участие израиль хотеть следующий год конкурс ввенепрошел представитель страна год участник евровидение нидерландов йоста кляйна псевдоним joost дисквалифицировалипосле жалоба которая быть подать участница съёмочный группа после выступление полуфинал конкурс сми начать распространяться информация том кляйн мочь конфликтовать делегация израиль выясниться ход пресс конференция страна участница кляйн вмешаться интервью представительница израиль эден голан журналист задать вопрос думать подвергать риск других участник публика голан замешкаться продюсер конкурс отметить исполнительница иметь право отвечать вопрос пресса тогда вмешаться кляйн спросить почему нет итог представительница израиль прийтись дать ответ ранее премьер министр испаниипедро санчесзаявил артистка израиль должный быть принимать участие конкурс евровидение отметить организатор допустить двойной стандарт отлучить участие конкурс россия после начало специальный военный операция сво позволить выступить участница израиль россия принимать участие евровидении год тогдашний организатор конкурс мартин эстердальзаявил решение исключение россия список участник даться руководство ebu непростой запрет участие российский конкурсант соответствовать ценность запад солидарность взаимовыручка объединение музыка,"[ 0.36217028  0.06101381  0.14177074  0.22994056  0.81986177 -0.6267228
 -0.00696729 -0.07856561  0.968103   -0.5091073   0.8988856  -0.29284698
 -0.8967764   0.99159855  0.43985164  0.05778497 -0.3256196  -0.14358483
 -0.3131745  -0.08231131  0.63542587 -0.09133168  0.27323446  0.02650815
  0.02158934 -0.98547846 -0.5031491  -0.3594291   0.25082117 -1.1103178
 -0.04063604 -0.31068435  0.5001239  -0.02803065  0.33404008 -0.1485693
 -0.35630816 -0.4865647   0.7811408  -0.2911085   0.4760664  -0.18980666
 -0.09784625  0.47184333  0.7866932  -1.0188953  -0.358592   -0.53754497
  0.82915837 -0.2853989  -0.42913967  0.51221883  0.07591809  0.42655036
 -0.12439407 -0.23787552 -0.356654   -0.00468446 -0.7826352  -0.06099011
 -0.04964546  0.3173522  -0.11160924  0.282634    0.5986017   0.22109437
  0.1293833   0.08105633  0.2998078   0.44538566 -0.12999107 -0.1543453
 -0.04606044 -0.829138   -0.32635856 -0.96287495 -0.49650732 -0.4417265
  0.00303137  0.12696454  0.67230046 -0.35493523  0.16045906 -0.139448
  0.11026836  0.12221979 -0.15469818  1.1227158   0.20085043  1.0070142
  0.26726758 -0.19999698  0.08833821  0.8955601   0.17416315  0.9347503 ]"
https://lenta.ru/news/2025/12/04/prezident-barselony-vspomnil-o-putine-vo-vremya-rassuzhdeniy-o-vozmozhnom-tretiem-sroke/,Президент «Барселоны» вспомнил о Путине во время рассуждений о возможном третьем сроке,"Президент «Барселоны» Жоан Лапорта ответил на вопрос, планирует ли он занимать свой пост больше двух сроков. Об этом сообщаетMundo Deportivo. Функционер вспомнил о российском лидереВладимире Путинеи президентеВенесуэлыНиколасе Мадуро. «Я не буду как Путин и Мадуро, не пойду на третий срок президентства в ""Барселоне"". Мог бы баллотироваться еще раз, но не планирую этого делать. Это было бы неуместно», — заявил Лапорта. Функционер во второй раз занял пост президента «Барселоны» в 2021 году. Его полномочия истекают в 2027-м. Ранее он занимал эту должность с 2003 по 2010 год. При Лапорте «Барселона» шесть раз становилась чемпиономИспании. Кроме того, сине-гранатовые два раза побеждали в Лиге чемпионов.",президент барселоны жоан лапорта ответил на вопрос планирует ли он занимать свой пост больше двух сроков об этом сообщаетmundo deportivo функционер вспомнил о российском лидеревладимире путинеи президентевенесуэлыниколасе мадуро я не буду как путин и мадуро не пойду на третий срок президентства в барселоне мог бы баллотироваться еще раз но не планирую этого делать это было бы неуместно заявил лапорта функционер во второй раз занял пост президента барселоны в году его полномочия истекают в м ранее он занимал эту должность с по год при лапорте барселона шесть раз становилась чемпиономиспании кроме того сине гранатовые два раза побеждали в лиге чемпионов,президент барселона жоан лапорта ответить вопрос планировать занимать свой пост больше два срок сообщаетmundo deportivo функционер вспомнить российский лидеревладимире путинеи президентевенесуэлыниколасе мадуро быть путин мадуро пойти третий срок президентство барселона мочь баллотироваться ещё раз планировать делать было неуместно заявить лапорта функционер второй раз занять пост президент барселона год полномочие истекать ранее занимать должность год лапорте барселона шесть раз становиться чемпиономиспании кроме синий гранатовый два раз побеждать лига чемпион,президент барселона жоан лапорта ответить вопрос планировать занимать свой пост больше два срок сообщаетmundo deportivo функционер вспомнить российский лидеревладимире путинеи президентевенесуэлыниколасе мадуро быть путин мадуро пойти третий срок президентство барселона мочь баллотироваться ещё раз планировать делать было неуместно заявить лапорта функционер второй раз занять пост президент барселона год полномочие истекать ранее занимать должность год лапорте барселона шесть раз становиться чемпиономиспании кроме синий гранатовый два раз побеждать лига чемпион,"[ 3.0885059e-01  4.1061455e-01  4.3191719e-01  3.7825368e-02
  7.1178448e-01 -8.2311755e-01 -4.4204804e-01 -8.4895767e-02
  1.5486679e+00 -4.3407136e-01  9.2331916e-01 -5.0887519e-01
 -7.0528543e-01  6.2031263e-01  4.6486965e-01  1.6269033e-01
 -3.1477565e-01 -2.5220037e-01 -1.5306650e-01 -2.9061513e-02
  8.5666311e-01 -2.6615801e-01  1.5179333e-01 -2.0656851e-01
  2.0404857e-01 -8.9562607e-01 -6.0767531e-01 -3.1529113e-03
  5.3601468e-01 -6.7882627e-01  6.0276705e-01 -5.0724173e-01
  4.4362348e-01 -1.4033563e-03  1.5600836e-01 -1.0383915e-01
  4.9127337e-01 -3.0848652e-01  5.6549859e-01 -5.3743339e-01
  2.8289983e-01 -5.1546460e-01 -1.8595996e-01  5.3967363e-01
  2.9870450e-01 -7.0967835e-01 -6.6165853e-01 -1.4511585e-01
  7.7574629e-01 -1.7705993e-01 -8.8316359e-02  2.2469835e-01
 -1.9772692e-01  1.3047779e-01 -7.9399920e-01 -1.5877460e-01
 -3.0404505e-01  1.7520465e-01 -7.9158229e-01  3.4562635e-01
  3.2651800e-01 -2.6227757e-01 -3.9865476e-01  6.4475203e-01
  6.5123111e-01  2.3991422e-01  2.7165857e-01  2.0570017e-02
  6.7779297e-01  5.3642440e-01 -4.5686811e-01  1.8514994e-01
 -8.2453370e-02 -6.4322394e-01 -9.5535956e-02 -1.0069325e+00
 -5.8271551e-01 -3.2677656e-01 -1.0144758e-01  1.1188187e-01
  7.9504007e-01 -5.8075285e-01  2.1464217e-01  4.2111990e-01
 -3.3132148e-01  5.6968331e-01 -2.3059569e-02  6.7000240e-01
  1.7990449e-01  8.5428220e-01 -7.9746485e-02 -1.3143674e-01
 -7.7609554e-02  8.9856893e-01 -3.8780123e-02  6.1963677e-01]"
https://lenta.ru/news/2025/12/05/tramp-pomiril-esche-dve-strany-radi-redkozemelnyh-metallov/,Трамп помирил еще две страны ради редкоземельных металлов,"Руандаи Демократическая Республика Конго (ДРК) при посредничествеСШАзаключили мирное соглашение. Трансляцию церемониивелтелеканал C-SPAN. Президент СШАДональд Трамппринял вВашингтонелидеров обеих странПоля Кагамеи Феликса Чисекеди. Итогом стал подписанный ими документ. Газета Los Angeles Timesвыяснила, что соглашение подразумевает будущее экономическое партнерство трех государств в рамках региональной экономической интеграции. Центральноафриканский регион представляет интерес для Трампа из-за больших залежей полезных ископаемых. Влияние США на страны в том районе должно позволить Вашингтону обойтиКитайв объемах добычи и переработки редкоземельных металлов. В частности, речьидетоколтане, 80 процентов мировых залежей которого находятся вКонго, и без которого невозможно производство компьютеров и мобильных телефонов.",руандаи демократическая республика конго дрк при посредничествесшазаключили мирное соглашение трансляцию церемониивелтелеканал c span президент сшадональд трамппринял ввашингтонелидеров обеих странполя кагамеи феликса чисекеди итогом стал подписанный ими документ газета los angeles timesвыяснила что соглашение подразумевает будущее экономическое партнерство трех государств в рамках региональной экономической интеграции центральноафриканский регион представляет интерес для трампа из за больших залежей полезных ископаемых влияние сша на страны в том районе должно позволить вашингтону обойтикитайв объемах добычи и переработки редкоземельных металлов в частности речьидетоколтане процентов мировых залежей которого находятся вконго и без которого невозможно производство компьютеров и мобильных телефонов,руандаи демократический республика конго дрк посредничествесшазаключили мирный соглашение трансляция церемониивелтелеканал span президент сшадональд трамппринял ввашингтонелидеров оба странполя кагамеи феликс чисекеди итог стать подписать ими документ газета los angeles timesвыяснить соглашение подразумевать будущее экономический партнёрство три государство рамка региональный экономический интеграция центральноафриканский регион представлять интерес трамп больший залежей полезный ископаемое влияние сша страна район должный позволить вашингтон обойтикитайв объём добыча переработка редкоземельный металл частность речьидетоколтане процент мировой залежь которого находиться вконго которого невозможный производство компьютер мобильный телефон,руандаи демократический республика конго дрк посредничествесшазаключили мирный соглашение трансляция церемониивелтелеканал span президент сшадональд трамппринял ввашингтонелидеров оба странполя кагамеи феликс чисекеди итог стать подписать ими документ газета los angeles timesвыяснить соглашение подразумевать будущее экономический партнёрство три государство рамка региональный экономический интеграция центральноафриканский регион представлять интерес трамп больший залежей полезный ископаемое влияние сша страна район должный позволить вашингтон обойтикитайв объём добыча переработка редкоземельный металл частность речьидетоколтане процент мировой залежь которого находиться вконго которого невозможный производство компьютер мобильный телефон,"[ 0.50776535  0.21895356  0.3250902   0.76410055  0.48878142 -0.6835531
  0.07330448 -0.26345608  0.96131784 -0.46854612  0.7884426  -0.22434883
 -0.66093594  1.0231022   0.43087935  0.15577781 -0.05494807  0.09324978
 -0.25822243 -0.23550315  0.46304873  0.00704494  0.2021204  -0.04861971
  0.08625847 -0.75034046 -0.6130152  -0.4050858   0.38986644 -1.191781
 -0.21723747 -0.540994    0.37682164  0.21590753  0.18924154  0.03352986
 -0.42587054 -0.44589514  0.75274557 -0.41207024  0.40220147 -0.02084688
  0.16394839  0.35612333  0.5470221  -0.8572978  -0.30983198 -0.28197324
  0.7570697  -0.6284953  -0.5089041   0.3345837   0.08153703  0.44136485
 -0.08429358 -0.34237152 -0.34171456  0.01574067 -0.90475285 -0.06580047
 -0.65693176  0.41709456  0.11208307  0.06060981  0.31327304  0.20272347
 -0.21020503  0.39057907  0.11769185  0.19137195 -0.19623671 -0.04257315
  0.39223233 -0.66508037 -0.40483677 -0.8572726  -0.6397834  -0.23277612
 -0.07442591 -0.14347851  0.4917279  -0.09978431  0.23797472 -0.00526807
 -0.09081844  0.47887316 -0.20059018  1.4542145   0.11061452  1.0700797
  0.24934882 -0.34693727  0.08357336  0.98098373 -0.14879659  0.6225179 ]"
https://lenta.ru/news/2025/12/05/tramp-poshutil-nad-nazvaniem-kennedi-tsentra/,Трамп пошутил над названием Кеннеди-центра,"Американский президентДональд Трампв шутку добавил свое имя в название главной театрально-концертной площадкиВашингтона. Речь идет о Центре исполнительских искусств имени Джона Кеннеди, сообщаетРИА Новости. «У нас будет большое событие в пятницу. В Трамп-Кеннеди-центре. Ой, извините, в Кеннеди-центре», — сказал лидерСШАво время своей речи на церемонии подписания мирного соглашения междуРуандойи ДР Конго. Как уточняется, Кеннеди-центр глава Белого дома переименовал по случаю жеребьевки матчей чемпионата мира по футболу, которая состоится там в пятницу. Затем Трамп извинился перед публикой, в шутливой форме сказав, что совершил «ужасную ошибку». Наканунебыл переименованИнститут мира США, созданный в 1984 году. К названию структуры добавили имя президента Америки.Пресс-секретарь Белого домаАнна Келли отметила, что этот шаг стал «мощным напоминанием о том, что может сделать сильное лидерство для обеспечения глобальной стабильности». Не так давно Дональд Трамппорассуждало получении Нобелевской премии мира. По словам американского лидера, ему удалось остановить восемь войн за восемь месяцев. Он понадеялся на то, что удостоится премии в следующем году.",американский президентдональд трампв шутку добавил свое имя в название главной театрально концертной площадкивашингтона речь идет о центре исполнительских искусств имени джона кеннеди сообщаетриа новости у нас будет большое событие в пятницу в трамп кеннеди центре ой извините в кеннеди центре сказал лидерсшаво время своей речи на церемонии подписания мирного соглашения междуруандойи др конго как уточняется кеннеди центр глава белого дома переименовал по случаю жеребьевки матчей чемпионата мира по футболу которая состоится там в пятницу затем трамп извинился перед публикой в шутливой форме сказав что совершил ужасную ошибку наканунебыл переименованинститут мира сша созданный в году к названию структуры добавили имя президента америки пресс секретарь белого домаанна келли отметила что этот шаг стал мощным напоминанием о том что может сделать сильное лидерство для обеспечения глобальной стабильности не так давно дональд трамппорассуждало получении нобелевской премии мира по словам американского лидера ему удалось остановить восемь войн за восемь месяцев он понадеялся на то что удостоится премии в следующем году,американский президентдональд трампв шутка добавить свой имя название главный театрально концертный площадкивашингтона речь идти центр исполнительский искусство имя джон кеннеди сообщаетриа новость нас будет большой событие пятница трамп кеннеди центр извинить кеннеди центр сказать лидерсшаво время свой речь церемония подписание мирный соглашение междуруандойи конго уточняться кеннеди центр глава белый дом переименовать случай жеребьёвка матч чемпионат мир футбол которая состояться пятница затем трамп извиниться перед публика шутливый форма сказать совершить ужасный ошибка наканунебыл переименованинститут мир сша создать год название структура добавить имя президент америка пресс секретарь белый домаанна келли отметить шаг стать мощный напоминание том мочь сделать сильный лидерство обеспечение глобальный стабильность давно дональд трамппорассуждало получении нобелевский премия мир слово американский лидер ему удаться остановить восемь война восемь месяц понадеяться удостоится премия следующий год,американский президентдональд трампв шутка добавить свой имя название главный театрально концертный площадкивашингтона речь идти центр исполнительский искусство имя джон кеннеди сообщаетриа новость нас будет большой событие пятница трамп кеннеди центр извинить кеннеди центр сказать лидерсшаво время свой речь церемония подписание мирный соглашение междуруандойи конго уточняться кеннеди центр глава белый дом переименовать случай жеребьёвка матч чемпионат мир футбол которая состояться пятница затем трамп извиниться перед публика шутливый форма сказать совершить ужасный ошибка наканунебыл переименованинститут мир сша создать год название структура добавить имя президент америка пресс секретарь белый домаанна келли отметить шаг стать мощный напоминание том мочь сделать сильный лидерство обеспечение глобальный стабильность давно дональд трамппорассуждало получении нобелевский премия мир слово американский лидер ему удаться остановить восемь война восемь месяц понадеяться удостоится премия следующий год,"[ 5.1197505e-01  1.9368638e-01  9.4172202e-02  5.7989246e-01
  5.7888252e-01 -5.3468579e-01 -8.4594928e-02 -1.9270815e-01
  1.1463975e+00 -6.3717973e-01  9.3889928e-01 -2.5912228e-01
 -6.2986737e-01  9.3101478e-01  5.2133155e-01  1.3735455e-01
 -2.3761569e-01 -1.8711664e-01 -2.9163375e-01  8.9477174e-02
  6.9369388e-01 -1.3701671e-01  2.1256374e-01  9.8479733e-02
  7.4406172e-04 -9.4465774e-01 -2.8772435e-01 -2.8758365e-01
  3.8644424e-01 -1.0836172e+00 -7.9891952e-03 -3.2422128e-01
  2.7436641e-01 -8.1789680e-02  3.4790361e-01 -2.2114260e-01
 -3.5811308e-01 -5.3157282e-01  5.8674717e-01 -3.4307739e-01
  3.4863377e-01 -1.8463245e-01 -8.6380735e-02  4.6588996e-01
  9.1126907e-01 -9.8625022e-01 -4.8101535e-01 -4.9246055e-01
  7.7143329e-01 -4.3154559e-01 -4.1189808e-01  3.6818507e-01
 -8.5799016e-02  3.3580655e-01 -1.3408491e-01 -1.5681897e-01
 -7.3501772e-01 -1.1322165e-01 -7.6251006e-01 -3.4479208e-02
 -2.4117120e-01  1.0185741e-01 -1.9927505e-01  3.1006601e-01
  4.7226790e-01  2.7403075e-01  2.3194738e-01  1.2601045e-01
  2.4893011e-01  5.6513715e-01 -7.7989548e-02 -7.3721893e-02
  1.2675834e-01 -7.4354416e-01 -4.1356269e-01 -8.4392959e-01
 -5.2762538e-01 -3.4566045e-01 -9.3250327e-02  1.2253384e-01
  7.2849262e-01 -9.0986393e-02  3.8199306e-01 -6.7623198e-02
  2.4675673e-01  2.5873068e-01 -9.6071415e-02  1.0786196e+00
  1.5693878e-01  8.5578156e-01  2.4242015e-01 -3.5143045e-01
  2.8763022e-02  8.9350253e-01  1.0934377e-01  6.6481334e-01]"
